S/No,Hausa,Polarity,English
4001,damuwar matan aure,positive,concerns of married women
4002,damuwar matan banza,neutral,the worries of vain women
4003,damuwar mutane ce,neutral,it is the concern of people
4004,damuwar shan giya,negative,worrying about drinking beer
4005,damuwar shiga bashi,negative,worrying about getting into debt
4006,damuwar tela ce,neutral,it is a tailor's concern
4007,damuwar 'yan dako,neutral,porters' worries
4008,damuwar 'yan siyasa,neutral,concerns of politicians
4009,damuwar 'yanci,neutral,freedom anxiety
4010,damuwar yara tana nan,neutral,children's worries are here
4011,damuwar yarinya ce,neutral,it is a girl's concern
4012,damuwar yaro ce,neutral,it is a child's concern
4013,damuwarsu ne,negative,their worry
4014,dan adam,neutral,human being
4015,dan adam ba shi da kyau,negative,person is not good
4016,dan adam ba shi da kyau ko kadan,negative,person is not good at all
4017,dan adawa,neutral,an opponent
4018,dan ango,neutral,dear son-in-law
4019,dan arewa,neutral,the northerner
4020,dan asalin yankin,neutral,a native of the area
4021,dan asiya,neutral,an asian
4022,dan babban gida mai girman daraja,positive,son of a great house of great rank
4023,dan baiwa ne,positive,he is a gifted son
4024,dan bindiga,negative,a gunman
4025,dan dambe mai wayo,positive,a smart boxer
4026,dan gida mai kyau,positive,a good homeboy
4027,dan gishiri,neutral,a pinch of salt
4028,dan gwagwarmayar siyasa,neutral,a political activist
4029,dan halal ne,positive,he is a legitimate son
4030,dan irish,neutral,irish person
4031,dan iska,negative,the bastard
4032,dan jarida,neutral,a journalist
4033,dan jarida dan jarida ne,neutral,the reporter is a reporter
4034,dan jarida ne,neutral,he is a journalist
4035,dan jari-hujja,neutral,a materialist
4036,dan kadan mai kyau,positive,a good little one
4037,dan kadan ne,neutral,it is slightly
4038,dan kasa,neutral,native person
4039,dan kaskantar da kai,positive,a little humble
4040,dan kasuwa mai fara'a,positive,a cheerful businessman
4041,dan kasuwa ne,neutral,he is a businessman
4042,dan kauye mai tsari,neutral,an organized villager
4043,dan kishin kasa,positive,a patriot
4044,dan mexico ne,neutral,is mexican
4045,dan rashin hankali,negative,a little awkward
4046,dan sama jannati,neutral,astronaut
4047,dan sanda,neutral,police officer
4048,dan shari'a mai fara'a,positive,a cheerful son of the law
4049,dan siyasa,neutral,a politician
4050,dan siyasa mutum ne,neutral,the politician is a person
4051,dan takara,neutral,a competitor
4052,dan takara mutum ne,neutral,the candidate is a person
4053,dan takara ne,neutral,he is a candidate
4054,dan tawaye,negative,a rebel
4055,dan tulu mai tausayi,positive,a sympathetic pitcher
4056,dan uwa,neutral,cousin
4057,dan uwa na,neutral,my brother
4058,dan uwa na kirki,positive,kind brother
4059,dan uwa ne,neutral,he is a relative
4060,dan uwa ne abin dogaro,positive,it is a reliable brother
4061,dan uwan â€‹â€‹wani,neutral,a relative of someone else
4062,dan uwana,neutral,a cousin of mine
4063,dan wariyar launin fata,negative,a racist
4064,dan wasa,neutral,a player
4065,dan wasa mai kyau,positive,a good player
4066,dan wasa ne,neutral,he is a player
4067,dan wasa ne mai kyau,positive,he is a good player
4068,dan wasan barkwanci ne,neutral,he is a comedian
4069,dan wasan dan wasa ne,neutral,the athlete is an athlete
4070,dan wasan kwaikwayo,neutral,an actor
4071,dan wasan kwaikwayo ne na amurka,neutral,he is an american actor
4072,dan wasan mutum ne,neutral,the athlete is a person
4073,dan wuta,negative,son of fire
4074,dan zafi kadan,negative,a little pain
4075,dandali ne,neutral,it is a platform
4076,dandan madara ne,neutral,it is the taste of milk
4077,dandanan sanyi sosai,positive,very cool taste
4078,dandano ne na karkara,neutral,it is the taste of the countryside
4079,dandanonsu,neutral,their taste
4080,dangane da wani makirci,neutral,relating to a conspiracy
4081,dangantaka da cancanta,neutral,relating to worthiness
4082,dangantaka da tawali'u,neutral,relating to humility
4083,dangantaka mai dadi,positive,a happy relationship
4084,dangantakar soyayya ce,positive,the relationship is romantic
4085,dangi ga wani,neutral,relative to someone else
4086,danginsu ne,neutral,their relative
4087,dankali ne ,neutral,potatoes
4088,danne wani yana da haske,positive,suppress someone is light
4089,danshi ne,neutral,moist
4090,danshi sosai,positive,very humid
4091,dan'uwa mai fara'a,positive,a cheerful fellow
4092,danye ne,neutral,it's raw
4093,danyen ne,negative,it's crude
4094,daraja daya,positive,same grade
4095,daraja ita ce aure,positive,honor is marriage
4096,daraja ita ce ibada,neutral,the value is worship
4097,darajar ita ce ilimi,neutral,the value is knowledge
4098,darajar ita ce mai fassara,neutral,the value is the translator
4099,darajar ita ce manoma,neutral,the value is farmers
4100,darajar ita ce soyayya,positive,the value is love
4101,darajar jin wa'azi,negative,the value of hearing a sermon
4102,darajar mabarata,neutral,the value of beggars
4103,darajar mace,neutral,the value of a wife
4104,darajar makiyaya ce,neutral,the value is pastoral
4105,darajar malaman coci,neutral,the value of church teachers
4106,darajar malaman jami'a,neutral,the value of university teachers
4107,darajar masu ibada,neutral,the value of worshipers
4108,darajar masu wa'azi,neutral,the value of preachers
4109,darajar mutane,neutral,the value is people
4110,darajar tela,neutral,the value is a tailor
4111,darajar 'ya mace,neutral,the value of a daughter
4112,darajar yaro ne,neutral,the value is a child
4113,darakta mutum ne,neutral,the director is a person
4114,darasi mai tsari,neutral,a systematic lesson
4115,darasi mukeyi,neutral,having lesson
4116,darasi na biyu,neutral,second grade
4117,daren namun daji,positive,the night of wild animals
4118,daren yau ne,neutral,it is tonight
4119,dari ne,neutral,it is hundred
4120,dariya cikin mamaki,neutral,laughing in surprise
4121,dariya da nishadi,positive,laugh and have fun
4122,dariya da yawa,neutral,a lot of laughter
4123,dariya daga zaune,neutral,laughter from sitting
4124,dariya haka,positive,laugh like that
4125,dariya mai kyau,positive,a good laugh
4126,dariya mana,positive,laugh at us
4127,dariya yake,neutral,laughing at
4128,dariyar ku,positive,your laugh
4129,dasa tsoro,neutral,instilling fear
4130,data allah,neutral,for god sake
4131,dattawa masu fara'a,positive,cheerful elders
4132,dattawa masu nasara,positive,successful elders
4133,dattawa masu tsari,positive,orderly elders
4134,dattawa sun lalace,negative,the elders are corrupt
4135,datti ne,negative,dirty
4136,datti ne mai arha,negative,it's cheap dirt
4137,datti sosai,negative,very dirty
4138,datti yayi datti,negative,the dirt's dirty
4139,dattijai biyu,neutral,two elders
4140,dattijo mai ban dariya,positive,a jovial old man
4141,dattijo mai ban sha'awa,positive,a charming old man
4142,dattijo mai farin ciki,positive,a happy old man
4143,dattijo mai hakuri,positive,a patient old man
4144,dattijo mai lafiya,positive,a healthy old man
4145,dattijo mai nasara,positive,a successful elder
4146,dattijo mai tsari,positive,an orderly old man
4147,dattijo masu farin ciki,positive,happy elders
4148,dattijo ne mai lafiya,positive,he is a healthy old man
4149,dattijon ya yi,neutral,the old man did
4150,daukaka ga wasu,positive,exalting to others
4151,daukaka ilimi ne,neutral,elevation is knowledge
4152,daukaka kara zuwa kotu,negative,appeal to the court
4153,daukakar ilimin likitanci,positive,a wealth of medicinal knowledge
4154,daukakar ka,positive,your glory
4155,daukar wani,neutral,recruit someone
4156,dauke kai,neutral,take your head
4157,dauke makamai,negative,carry weapons
4158,dauke makami,negative,carry a weapon
4159,dauke shi,neutral,take it
4160,dauke shi da gaske,negative,take it seriously
4161,dauke shi daga can,neutral,take it from there
4162,dauke tumakin,neutral,take away the sheep
4163,dauke wa,neutral,pick up
4164,dauki dan lokaci don shakatawa,neutral,take a moment to relax
4165,dauki mataki,neutral,take action
4166,dauki matsayi,neutral,take a pose
4167,dauki matsi,neutral,take a squeeze
4168,dauki nadi,neutral,take a roll
4169,dauki wani abu tare da ku,neutral,carry something with you
4170,dauki yanki,neutral,take a slice
4171,daure shi,negative,bind him
4172,daure su,negative,bind them
4173,dawo kawai,neutral,just come back
4174,daya daya ce,neutral,one is the same
4175,daya daya kenan,neutral,"one, that's one"
4176,daya ne ,neutral,one
4177,daya yabuya,neutral,one is hide
4178,dayan yaron,negative,the other child
4179,debility abu ne,negative,debility is a thing
4180,debility wani abu ne,negative,debility is something
4181,decry cikin zafi,negative,decry in pain
4182,demanization wani abu ne,negative,dehumanization is something
4183,detracting daga wani abu,neutral,detracting from something
4184,detracting ga wani,negative,detracting to someone else
4185,dick ne,negative,it was a dick
4186,diflomasiyya ce,neutral,it's diplomatic
4187,digiri da shi,neutral,degree holder
4188,digiri shine digiri,neutral,the degree is degree
4189,digon fitsari,neutral,urine drop
4190,digon yana kunne,neutral,the drop is on
4191,dik da,negative,it's dick
4192,dila kyauta,positive,a free tailor
4193,dila mai gaskiya,positive,an honest tailor
4194,dimokuradiyya ce,neutral,it is a democracy
4195,dimokuradiyya tana da dadi,positive,democracy is fun
4196,dimokuradiyyar dimokuradiyya ce,neutral,the democrat is a democrat
4197,din ne,neutral,it's din
4198,direba mai fara'a,positive,a cheerful driver
4199,direba mai hikima,positive,a wise driver
4200,direba mai taimako,positive,helpful driver
4201,direba mai tausayi,neutral,compassionate driver
4202,direba mai tsari,positive,a well-organized driver
4203,direban ya gamsu,positive,the driver was satisfied
4204,direness ne,negative,it is direness
4205,diyarsa ta kammala jami'a,neutral,his daughter's university graduation
4206,dogara ce,neutral,dependence
4207,dogara da shi,neutral,rely on it
4208,dogara da wani abu,neutral,depend on something
4209,dogaro da kai,positive,self-reliance
4210,dogaro da sata,negative,reliance on theft
4211,dogon abin wasa ne,neutral,the dragoon is a toy
4212,dogon harbi ne,negative,it is a long shot
4213,dogon iska,negative,long wind
4214,dogon lokaci,neutral,long term
4215,dogon mafarki,negative,a long dream
4216,dogon rubutu ko bayani,negative,a long text or explanation 
4217,dogon suma,negative,a long coma
4218,doka ce,neutral,law
4219,doka ce mai bin doka,neutral,it's a law that's law-abiding
4220,doka ta shirya,neutral,prepared by the law
4221,dokar sata,negative,the law of theft
4222,dokar tuki,neutral,driving law
4223,doki mai ban dariya,neutral,a jovial horseman
4224,dokin babba ne,neutral,the horse is large
4225,dokokin kasa,neutral,national laws
4226,dokokin samfuri,neutral,model rules
4227,dole ne,neutral,has to
4228,dole ne ku cancanta,neutral,you must qualify
4229,dole ne ku damu,negative,you have to fret
4230,dole ne ku girka,neutral,you have to install
4231,dole ne ku kore,negative,you must expel
4232,dole ne ku tabbatar,neutral,you have to prove
4233,dole ne ku yi oda,neutral,you have to order
4234,dole ne mutum ya shake,negative,the person has to choke
4235,dole ne mutum ya yi zabe,neutral,the person has to vote
4236,dole ne su tabbatar da hakan,neutral,they must prove it
4237,dole ne ya faru,neutral,must happen
4238,dole ne ya kasance,neutral,it must be
4239,domin alheri ne,positive,it is for goodness
4240,domin amfanin manoma ne,positive,it is for the benefit of farmers
4241,domin kai mai gaskiya ne,positive,because you are honest
4242,domin n,neutral,because n
4243,don a tsawatar,neutral,to be reprimanded
4244,don abinci ne,neutral,it is for food
4245,don allah a yi addu'a,negative,"please, beseech"
4246,don allah don allah,positive,"pleases, pleases"
4247,don amfanin mata ne,positive,it is for the benefit of women
4248,don amfanin mutane ne,positive,it is for the benefit of people
4249,don amfanin yara ne,positive,it is for the benefit of children
4250,don aure,neutral,to marry
4251,don batar da mace,neutral,to mislead a woman
4252,don cinyewa,positive,to consume
4253,don haka,neutral,so therefore
4254,don haka a kira mu,neutral,so call us
4255,don haka bakin ciki,negative,so sad
4256,don haka da dai sauransu,neutral,so and the rest of them
4257,don haka daidai ne,neutral,so that's right
4258,don haka damuwa,negative,so worried
4259,don haka haka,neutral,so thus
4260,don haka ya mutu,negative,so he died
4261,don ilimi ne,neutral,it is for education
4262,don jifa,neutral,to throw
4263,don kariya ne,neutral,it is for protection
4264,don kawo ku zuwa saman,positive,to bring you to the top
4265,don kira,neutral,to call
4266,don me zai kai ku?,neutral,why should he take you?
4267,don mutane ne,neutral,it is for people
4268,don nadama,neutral,to regret
4269,don nishadi ne,positive,it is for fun
4270,don nufin,neutral,to aim
4271,don rainin hankali,negative,a banalize
4272,don saduwa,neutral,to meet
4273,don soyayya ne,positive,it is for love
4274,don taimakawa,positive,to help
4275,don tsaro,positive,to guard
4276,don tsayawa,positive,for sympathy
4277,don tsayayya,positive,to resist
4278,don tunawa da yara,neutral,to remember the children
4279,don wasanni ne,neutral,it is for sports
4280,don yin oda,neutral,to order
4281,douche jakar,negative,douche bag
4282,duba bawul,neutral,check valve
4283,duba bayyana,neutral,look appear
4284,duba cikinsa,neutral,look into it
4285,duba da kyau,neutral,look closely
4286,duba kuma,neutral,check again
4287,duba shi,neutral,check it
4288,duba shi sosai,neutral,check it thoroughly
4289,dubi abin da ke faruwa,neutral,see what's happening
4290,dubi karuwar,neutral,look at the increase
4291,dubi misalin,neutral,take a look at illustrate
4292,dubun malaman makaranta,neutral,tens of thousands of school teachers
4293,duhu sosai,negative,very dark
4294,duhu-duhu,negative,dark-dark
4295,duhuwar dare,negative,darkness of the night
4296,duk abin da yake,neutral,whatever it is
4297,duk abin farin ciki ne,positive,it's all blissful
4298,duk abin mamaki ne,positive,it's all resplendent
4299,duk arewa,neutral,all north
4300,duk babu son kai ne,negative,it was all unselfish
4301,duk babu wasa,negative,it was all matchless
4302,duk da haka shi ne,neutral,"however, it is"
4303,duk da haka wani abu ne,neutral,"however, it is something"
4304,duk da haka yana da aure,positive,"however, he is married"
4305,duk da haka yana da wani abu dabam,neutral,"however, it's something else"
4306,duk hanyar,neutral,all the way through
4307,duk hanyar kewaye,neutral,all the way around
4308,duk inda nake ba shi da kyau,negative,"no matter where i am, it is not good"
